2025-02-13 14:20:31.369 CET [29052] LOG:  checkpoint complete: wrote 52 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.599 s, sync=0.014 s, total=5.627 s; sync files=30, longest=0.001 s, average=0.001 s; distance=272 kB, estimate=318 kB; lsn=0/3368BB0, redo lsn=0/3368B40
2025-02-13 14:23:04.130 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000000D5C: error code 487
2025-02-13 14:25:25.380 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:25:31.404 CET [29052] LOG:  checkpoint complete: wrote 56 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.992 s, sync=0.025 s, total=6.025 s; sync files=31, longest=0.002 s, average=0.001 s; distance=302 kB, estimate=317 kB; lsn=0/33B6CC0, redo lsn=0/33B4698
2025-02-13 14:30:25.413 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:30:32.986 CET [29052] LOG:  checkpoint complete: wrote 70 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.547 s, sync=0.019 s, total=7.573 s; sync files=37, longest=0.005 s, average=0.001 s; distance=344 kB, estimate=344 kB; lsn=0/340AB90, redo lsn=0/340A6F0
2025-02-13 14:35:26.002 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:35:31.070 CET [29052] LOG:  checkpoint complete: wrote 47 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.036 s, sync=0.019 s, total=5.068 s; sync files=29, longest=0.005 s, average=0.001 s; distance=255 kB, estimate=335 kB; lsn=0/344A5C8, redo lsn=0/344A590
2025-02-13 14:37:08.634 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000000D48: error code 487
2025-02-13 14:40:26.072 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:40:30.914 CET [29052] LOG:  checkpoint complete: wrote 45 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.814 s, sync=0.015 s, total=4.842 s; sync files=28, longest=0.005 s, average=0.001 s; distance=237 kB, estimate=325 kB; lsn=0/3485BF8, redo lsn=0/3485BC0
2025-02-13 14:44:25.881 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000000D5C: error code 487
2025-02-13 14:45:26.920 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:45:36.226 CET [29052] LOG:  checkpoint complete: wrote 86 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.271 s, sync=0.023 s, total=9.307 s; sync files=34, longest=0.005 s, average=0.001 s; distance=379 kB, estimate=379 kB; lsn=0/34E48C8, redo lsn=0/34E4890
2025-02-13 14:50:26.228 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:50:32.800 CET [29052] LOG:  checkpoint complete: wrote 61 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.548 s, sync=0.017 s, total=6.572 s; sync files=34, longest=0.002 s, average=0.001 s; distance=317 kB, estimate=372 kB; lsn=0/3533D48, redo lsn=0/3533D10
2025-02-13 14:55:26.803 CET [29052] LOG:  checkpoint starting: time
2025-02-13 14:55:32.525 CET [29052] LOG:  checkpoint complete: wrote 53 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.695 s, sync=0.015 s, total=5.722 s; sync files=32, longest=0.001 s, average=0.001 s; distance=290 kB, estimate=364 kB; lsn=0/357C5C8, redo lsn=0/357C590
2025-02-13 14:58:24.453 CET [15324] LOG:  received fast shutdown request
2025-02-13 14:58:24.455 CET [15324] LOG:  aborting any active transactions
2025-02-13 14:58:24.455 CET [7264] FATAL:  terminating connection due to administrator command
2025-02-13 14:58:24.466 CET [15324] LOG:  background worker "logical replication launcher" (PID 6052) exited with exit code 1
2025-02-13 14:58:24.475 CET [29052] LOG:  shutting down
2025-02-13 14:58:24.476 CET [29052] LOG:  checkpoint starting: shutdown immediate
2025-02-13 14:58:24.537 CET [29052] LOG:  checkpoint complete: wrote 40 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.042 s, sync=0.012 s, total=0.062 s; sync files=27, longest=0.001 s, average=0.001 s; distance=228 kB, estimate=351 kB; lsn=0/35B5710, redo lsn=0/35B5710
2025-02-13 14:58:24.572 CET [15324] LOG:  database system is shut down
2025-02-13 15:01:30.521 CET [31388] LOG:  starting PostgreSQL 16.6, compiled by Visual C++ build 1942, 64-bit
2025-02-13 15:01:30.524 CET [31388] LOG:  listening on IPv6 address "::", port 15432
2025-02-13 15:01:30.524 CET [31388] LOG:  listening on IPv4 address "0.0.0.0", port 15432
2025-02-13 15:01:30.534 CET [31388] LOG:  listening on Unix socket "C:/Users/z004u6jf/AppData/Local/.winccoa/.s.PGSQL.15432"
2025-02-13 15:01:30.644 CET [4332] LOG:  database system was shut down at 2025-02-13 14:58:24 CET
2025-02-13 15:01:30.851 CET [31388] LOG:  database system is ready to accept connections
2025-02-13 15:06:30.634 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:06:40.206 CET [35668] LOG:  checkpoint complete: wrote 90 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.543 s, sync=0.022 s, total=9.573 s; sync files=40, longest=0.005 s, average=0.001 s; distance=376 kB, estimate=376 kB; lsn=0/364B040, redo lsn=0/3613A00
2025-02-13 15:11:30.215 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:11:33.429 CET [35668] LOG:  checkpoint complete: wrote 30 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.190 s, sync=0.014 s, total=3.215 s; sync files=16, longest=0.005 s, average=0.001 s; distance=264 kB, estimate=365 kB; lsn=0/3655E10, redo lsn=0/3655DD8
2025-02-13 15:16:30.433 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:16:33.639 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 00000000000014C4: error code 487
2025-02-13 15:16:36.171 CET [35668] LOG:  checkpoint complete: wrote 53 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.703 s, sync=0.023 s, total=5.738 s; sync files=35, longest=0.005 s, average=0.001 s; distance=268 kB, estimate=355 kB; lsn=0/36D3D08, redo lsn=0/3698FD0
2025-02-13 15:21:30.172 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:21:33.387 CET [35668] LOG:  checkpoint complete: wrote 30 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.194 s, sync=0.010 s, total=3.215 s; sync files=20, longest=0.001 s, average=0.001 s; distance=236 kB, estimate=343 kB; lsn=0/36D43D0, redo lsn=0/36D4398
2025-02-13 15:25:23.841 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 00000000000013F4: error code 487
2025-02-13 15:26:30.388 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:26:37.792 CET [35668] LOG:  checkpoint complete: wrote 68 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.372 s, sync=0.019 s, total=7.404 s; sync files=35, longest=0.002 s, average=0.001 s; distance=328 kB, estimate=342 kB; lsn=0/3761E98, redo lsn=0/37266B0
2025-02-13 15:29:35.298 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 00000000000013A0: error code 487
2025-02-13 15:31:30.806 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:31:33.689 CET [35668] LOG:  checkpoint complete: wrote 27 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.868 s, sync=0.009 s, total=2.884 s; sync files=18, longest=0.001 s, average=0.001 s; distance=246 kB, estimate=332 kB; lsn=0/3763F70, redo lsn=0/3763F38
2025-02-13 15:36:30.702 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:36:36.192 CET [35668] LOG:  checkpoint complete: wrote 51 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.471 s, sync=0.013 s, total=5.491 s; sync files=32, longest=0.001 s, average=0.001 s; distance=292 kB, estimate=328 kB; lsn=0/37AD5C8, redo lsn=0/37AD150
2025-02-13 15:38:11.350 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 0000000000001324: error code 487
2025-02-13 15:40:58.442 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 0000000000001514: error code 487
2025-02-13 15:41:30.202 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:41:34.830 CET [35668] LOG:  checkpoint complete: wrote 43 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.606 s, sync=0.013 s, total=4.629 s; sync files=29, longest=0.001 s, average=0.001 s; distance=235 kB, estimate=319 kB; lsn=0/37E7E28, redo lsn=0/37E7DF0
2025-02-13 15:46:30.840 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:46:38.204 CET [35668] LOG:  checkpoint complete: wrote 68 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.331 s, sync=0.021 s, total=7.364 s; sync files=36, longest=0.005 s, average=0.001 s; distance=312 kB, estimate=318 kB; lsn=0/38368D0, redo lsn=0/3835E00
2025-02-13 15:51:30.213 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:51:37.130 CET [35668] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.890 s, sync=0.015 s, total=6.917 s; sync files=30, longest=0.005 s, average=0.001 s; distance=307 kB, estimate=317 kB; lsn=0/3882CB0, redo lsn=0/3882C78
2025-02-13 15:52:38.203 CET [31388] LOG:  could not reserve shared memory region (addr=000001DE1F950000) for child 00000000000012B8: error code 487
2025-02-13 15:56:30.137 CET [35668] LOG:  checkpoint starting: time
2025-02-13 15:56:37.515 CET [35668] LOG:  checkpoint complete: wrote 68 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.345 s, sync=0.022 s, total=7.378 s; sync files=30, longest=0.005 s, average=0.001 s; distance=303 kB, estimate=316 kB; lsn=0/38CEB60, redo lsn=0/38CEB28
2025-02-13 16:01:30.532 CET [35668] LOG:  checkpoint starting: time
2025-02-13 16:01:38.994 CET [35668] LOG:  checkpoint complete: wrote 78 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.429 s, sync=0.022 s, total=8.463 s; sync files=39, longest=0.005 s, average=0.001 s; distance=422 kB, estimate=422 kB; lsn=0/3938410, redo lsn=0/39383D8
2025-02-13 16:06:31.005 CET [35668] LOG:  checkpoint starting: time
2025-02-13 16:06:36.851 CET [35668] LOG:  checkpoint complete: wrote 54 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.823 s, sync=0.018 s, total=5.847 s; sync files=33, longest=0.005 s, average=0.001 s; distance=291 kB, estimate=409 kB; lsn=0/3982850, redo lsn=0/39812B0
2025-02-13 16:09:51.827 CET [31388] LOG:  received fast shutdown request
2025-02-13 16:09:51.829 CET [31388] LOG:  aborting any active transactions
2025-02-13 16:09:51.829 CET [6208] FATAL:  terminating connection due to administrator command
2025-02-13 16:09:51.839 CET [31388] LOG:  background worker "logical replication launcher" (PID 9648) exited with exit code 1
2025-02-13 16:09:51.844 CET [35668] LOG:  shutting down
2025-02-13 16:09:51.846 CET [35668] LOG:  checkpoint starting: shutdown immediate
2025-02-13 16:09:51.909 CET [35668] LOG:  checkpoint complete: wrote 71 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.037 s, sync=0.022 s, total=0.066 s; sync files=36, longest=0.002 s, average=0.001 s; distance=321 kB, estimate=400 kB; lsn=0/39D1750, redo lsn=0/39D1750
2025-02-13 16:09:51.956 CET [31388] LOG:  database system is shut down
2025-02-13 16:10:45.852 CET [24628] LOG:  starting PostgreSQL 16.6, compiled by Visual C++ build 1942, 64-bit
2025-02-13 16:10:45.854 CET [24628] LOG:  listening on IPv6 address "::", port 15432
2025-02-13 16:10:45.854 CET [24628] LOG:  listening on IPv4 address "0.0.0.0", port 15432
2025-02-13 16:10:45.861 CET [24628] LOG:  listening on Unix socket "C:/Users/z004u6jf/AppData/Local/.winccoa/.s.PGSQL.15432"
2025-02-13 16:10:45.969 CET [6404] LOG:  database system was shut down at 2025-02-13 16:09:51 CET
2025-02-13 16:10:46.189 CET [24628] LOG:  database system is ready to accept connections
2025-02-13 16:15:45.972 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:15:53.776 CET [34716] LOG:  checkpoint complete: wrote 74 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.780 s, sync=0.016 s, total=7.805 s; sync files=39, longest=0.001 s, average=0.001 s; distance=356 kB, estimate=356 kB; lsn=0/3A2BA88, redo lsn=0/3A2AAE0
2025-02-13 16:20:45.790 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:20:50.958 CET [34716] LOG:  checkpoint complete: wrote 48 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.141 s, sync=0.018 s, total=5.169 s; sync files=32, longest=0.005 s, average=0.001 s; distance=261 kB, estimate=347 kB; lsn=0/3A6C120, redo lsn=0/3A6C0E8
2025-02-13 16:25:45.963 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:25:52.000 CET [34716] LOG:  checkpoint complete: wrote 56 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.015 s, sync=0.016 s, total=6.038 s; sync files=31, longest=0.002 s, average=0.001 s; distance=307 kB, estimate=343 kB; lsn=0/3AB8D68, redo lsn=0/3AB8D30
2025-02-13 16:30:45.006 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:30:50.963 CET [34716] LOG:  checkpoint complete: wrote 55 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.927 s, sync=0.019 s, total=5.958 s; sync files=31, longest=0.005 s, average=0.001 s; distance=263 kB, estimate=335 kB; lsn=0/3AFAB10, redo lsn=0/3AFAAD8
2025-02-13 16:35:45.965 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:35:52.659 CET [34716] LOG:  checkpoint complete: wrote 62 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.673 s, sync=0.014 s, total=6.695 s; sync files=32, longest=0.001 s, average=0.001 s; distance=322 kB, estimate=334 kB; lsn=0/3B4B330, redo lsn=0/3B4B2F8
2025-02-13 16:40:45.664 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:40:52.592 CET [34716] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.907 s, sync=0.014 s, total=6.928 s; sync files=32, longest=0.001 s, average=0.001 s; distance=265 kB, estimate=327 kB; lsn=0/3B8DA90, redo lsn=0/3B8DA58
2025-02-13 16:45:45.594 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:45:50.887 CET [34716] LOG:  checkpoint complete: wrote 49 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.261 s, sync=0.021 s, total=5.294 s; sync files=27, longest=0.005 s, average=0.001 s; distance=264 kB, estimate=320 kB; lsn=0/3BCFC00, redo lsn=0/3BCFBC8
2025-02-13 16:50:45.891 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:50:54.802 CET [34716] LOG:  checkpoint complete: wrote 82 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.883 s, sync=0.020 s, total=8.912 s; sync files=34, longest=0.005 s, average=0.001 s; distance=359 kB, estimate=359 kB; lsn=0/3C299B8, redo lsn=0/3C29980
2025-02-13 16:55:45.809 CET [34716] LOG:  checkpoint starting: time
2025-02-13 16:55:51.191 CET [34716] LOG:  checkpoint complete: wrote 50 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.352 s, sync=0.013 s, total=5.382 s; sync files=30, longest=0.001 s, average=0.001 s; distance=266 kB, estimate=350 kB; lsn=0/3C6C4E0, redo lsn=0/3C6C4A8
2025-02-13 17:00:45.203 CET [34716] LOG:  checkpoint starting: time
2025-02-13 17:00:50.170 CET [34716] LOG:  checkpoint complete: wrote 46 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.935 s, sync=0.019 s, total=4.968 s; sync files=30, longest=0.005 s, average=0.001 s; distance=247 kB, estimate=339 kB; lsn=0/3CAA418, redo lsn=0/3CAA3E0
2025-02-13 17:02:36.228 CET [24628] LOG:  received fast shutdown request
2025-02-13 17:02:36.230 CET [24628] LOG:  aborting any active transactions
2025-02-13 17:02:36.230 CET [29180] FATAL:  terminating connection due to administrator command
2025-02-13 17:02:36.238 CET [24628] LOG:  background worker "logical replication launcher" (PID 6412) exited with exit code 1
2025-02-13 17:02:36.246 CET [34716] LOG:  shutting down
2025-02-13 17:02:36.248 CET [34716] LOG:  checkpoint starting: shutdown immediate
2025-02-13 17:02:36.315 CET [34716] LOG:  checkpoint complete: wrote 49 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.041 s, sync=0.017 s, total=0.069 s; sync files=30, longest=0.001 s, average=0.001 s; distance=269 kB, estimate=332 kB; lsn=0/3CED7F0, redo lsn=0/3CED7F0
2025-02-13 17:02:36.359 CET [24628] LOG:  database system is shut down
2025-02-27 13:48:06.024 CET [16628] LOG:  starting PostgreSQL 16.6, compiled by Visual C++ build 1942, 64-bit
2025-02-27 13:48:06.025 CET [16628] LOG:  listening on IPv6 address "::", port 15432
2025-02-27 13:48:06.025 CET [16628] LOG:  listening on IPv4 address "0.0.0.0", port 15432
2025-02-27 13:48:06.036 CET [16628] LOG:  listening on Unix socket "C:/Users/z004u6jf/AppData/Local/.winccoa/.s.PGSQL.15432"
2025-02-27 13:48:06.117 CET [11040] LOG:  database system was shut down at 2025-02-19 16:55:15 CET
2025-02-27 13:48:06.260 CET [16628] LOG:  database system is ready to accept connections
2025-02-27 13:53:06.125 CET [16200] LOG:  checkpoint starting: time
2025-02-27 13:53:21.236 CET [16200] LOG:  checkpoint complete: wrote 140 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=15.052 s, sync=0.042 s, total=15.112 s; sync files=65, longest=0.007 s, average=0.001 s; distance=697 kB, estimate=697 kB; lsn=0/7B4E248, redo lsn=0/7AF3638
2025-02-27 13:58:06.249 CET [16200] LOG:  checkpoint starting: time
2025-02-27 13:58:10.264 CET [16200] LOG:  checkpoint complete: wrote 37 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.960 s, sync=0.012 s, total=4.015 s; sync files=14, longest=0.002 s, average=0.001 s; distance=435 kB, estimate=671 kB; lsn=0/7BB69D8, redo lsn=0/7B603E0
2025-02-27 13:59:38.545 CET [16628] LOG:  received fast shutdown request
2025-02-27 13:59:38.548 CET [16628] LOG:  aborting any active transactions
2025-02-27 13:59:38.548 CET [20932] FATAL:  terminating connection due to administrator command
2025-02-27 13:59:38.558 CET [16628] LOG:  background worker "logical replication launcher" (PID 12156) exited with exit code 1
2025-02-27 13:59:38.570 CET [16200] LOG:  shutting down
2025-02-27 13:59:38.571 CET [16200] LOG:  checkpoint starting: shutdown immediate
2025-02-27 13:59:38.648 CET [16200] LOG:  checkpoint complete: wrote 72 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.040 s, sync=0.028 s, total=0.079 s; sync files=31, longest=0.002 s, average=0.001 s; distance=437 kB, estimate=647 kB; lsn=0/7BCD990, redo lsn=0/7BCD990
2025-02-27 13:59:38.695 CET [16628] LOG:  database system is shut down
