2025-02-13 10:15:24.629 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:15:29.687 CET [29052] LOG:  checkpoint complete: wrote 47 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.032 s, sync=0.017 s, total=5.058 s; sync files=29, longest=0.005 s, average=0.001 s; distance=267 kB, estimate=434 kB; lsn=0/25B2690, redo lsn=0/25B2658
2025-02-13 10:19:05.641 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001328: error code 487
2025-02-13 10:20:24.694 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:20:29.429 CET [29052] LOG:  checkpoint complete: wrote 44 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.714 s, sync=0.013 s, total=4.735 s; sync files=27, longest=0.001 s, average=0.001 s; distance=229 kB, estimate=414 kB; lsn=0/25EBDB0, redo lsn=0/25EBD78
2025-02-13 10:24:50.594 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001334: error code 487
2025-02-13 10:25:24.441 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:25:34.207 CET [29052] LOG:  checkpoint complete: wrote 90 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=9.734 s, sync=0.020 s, total=9.767 s; sync files=34, longest=0.005 s, average=0.001 s; distance=398 kB, estimate=412 kB; lsn=0/2650340, redo lsn=0/264F888
2025-02-13 10:30:24.218 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:30:29.819 CET [29052] LOG:  checkpoint complete: wrote 52 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.571 s, sync=0.018 s, total=5.601 s; sync files=31, longest=0.005 s, average=0.001 s; distance=276 kB, estimate=399 kB; lsn=0/2694930, redo lsn=0/26948F8
2025-02-13 10:34:23.753 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 000000000000127C: error code 487
2025-02-13 10:35:24.826 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:35:32.949 CET [29052] LOG:  checkpoint complete: wrote 75 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.089 s, sync=0.021 s, total=8.123 s; sync files=37, longest=0.005 s, average=0.001 s; distance=412 kB, estimate=412 kB; lsn=0/26FBD10, redo lsn=0/26FB958
2025-02-13 10:40:24.953 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:40:29.690 CET [29052] LOG:  checkpoint complete: wrote 44 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.716 s, sync=0.012 s, total=4.737 s; sync files=30, longest=0.001 s, average=0.001 s; distance=221 kB, estimate=393 kB; lsn=0/2732E70, redo lsn=0/2732E38
2025-02-13 10:45:12.146 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 000000000000128C: error code 487
2025-02-13 10:45:24.694 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:45:32.151 CET [29052] LOG:  checkpoint complete: wrote 69 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.432 s, sync=0.016 s, total=7.457 s; sync files=34, longest=0.001 s, average=0.001 s; distance=332 kB, estimate=386 kB; lsn=0/27868E0, redo lsn=0/2785E98
2025-02-13 10:46:57.748 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001398: error code 487
2025-02-13 10:50:24.167 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:50:28.684 CET [29052] LOG:  checkpoint complete: wrote 42 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.493 s, sync=0.013 s, total=4.518 s; sync files=28, longest=0.001 s, average=0.001 s; distance=221 kB, estimate=370 kB; lsn=0/27BE068, redo lsn=0/27BD320
2025-02-13 10:55:24.694 CET [29052] LOG:  checkpoint starting: time
2025-02-13 10:55:30.200 CET [29052] LOG:  checkpoint complete: wrote 51 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.481 s, sync=0.013 s, total=5.506 s; sync files=29, longest=0.002 s, average=0.001 s; distance=273 kB, estimate=360 kB; lsn=0/28029F8, redo lsn=0/2801978
2025-02-13 10:58:39.702 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 000000000000121C: error code 487
2025-02-13 11:00:24.204 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:00:33.191 CET [29052] LOG:  checkpoint complete: wrote 83 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=8.960 s, sync=0.021 s, total=8.988 s; sync files=34, longest=0.005 s, average=0.001 s; distance=321 kB, estimate=356 kB; lsn=0/2852558, redo lsn=0/2851F50
2025-02-13 11:01:06.055 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001278: error code 487
2025-02-13 11:02:06.060 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 00000000000012A4: error code 487
2025-02-13 11:05:24.197 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:05:31.692 CET [29052] LOG:  checkpoint complete: wrote 69 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.467 s, sync=0.022 s, total=7.496 s; sync files=35, longest=0.005 s, average=0.001 s; distance=335 kB, estimate=354 kB; lsn=0/28A5C10, redo lsn=0/28A5BD8
2025-02-13 11:10:24.704 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:10:29.413 CET [29052] LOG:  checkpoint complete: wrote 44 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.683 s, sync=0.014 s, total=4.709 s; sync files=29, longest=0.005 s, average=0.001 s; distance=227 kB, estimate=341 kB; lsn=0/28DEB40, redo lsn=0/28DEB08
2025-02-13 11:15:24.425 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:15:29.604 CET [29052] LOG:  checkpoint complete: wrote 48 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.148 s, sync=0.014 s, total=5.180 s; sync files=30, longest=0.002 s, average=0.001 s; distance=258 kB, estimate=333 kB; lsn=0/291F430, redo lsn=0/291F3F8
2025-02-13 11:20:24.615 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:20:29.463 CET [29052] LOG:  checkpoint complete: wrote 45 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=4.826 s, sync=0.016 s, total=4.849 s; sync files=30, longest=0.002 s, average=0.001 s; distance=257 kB, estimate=325 kB; lsn=0/295FB30, redo lsn=0/295FAF8
2025-02-13 11:25:24.469 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:25:31.423 CET [29052] LOG:  checkpoint complete: wrote 64 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.928 s, sync=0.015 s, total=6.955 s; sync files=31, longest=0.001 s, average=0.001 s; distance=326 kB, estimate=326 kB; lsn=0/29B1428, redo lsn=0/29B13F0
2025-02-13 11:27:25.261 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001160: error code 487
2025-02-13 11:30:24.429 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:30:32.333 CET [29052] LOG:  checkpoint complete: wrote 73 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.874 s, sync=0.018 s, total=7.904 s; sync files=34, longest=0.005 s, average=0.001 s; distance=309 kB, estimate=324 kB; lsn=0/29FE968, redo lsn=0/29FE930
2025-02-13 11:35:24.344 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:35:29.840 CET [29052] LOG:  checkpoint complete: wrote 51 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.469 s, sync=0.018 s, total=5.497 s; sync files=31, longest=0.005 s, average=0.001 s; distance=271 kB, estimate=319 kB; lsn=0/2A42740, redo lsn=0/2A42708
2025-02-13 11:40:24.854 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:40:31.393 CET [29052] LOG:  checkpoint complete: wrote 60 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=6.518 s, sync=0.014 s, total=6.539 s; sync files=32, longest=0.001 s, average=0.001 s; distance=315 kB, estimate=318 kB; lsn=0/2A91448, redo lsn=0/2A91410
2025-02-13 11:45:24.406 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:45:29.896 CET [29052] LOG:  checkpoint complete: wrote 51 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.465 s, sync=0.014 s, total=5.491 s; sync files=29, longest=0.002 s, average=0.001 s; distance=270 kB, estimate=314 kB; lsn=0/2AD4E48, redo lsn=0/2AD4E10
2025-02-13 11:50:24.909 CET [29052] LOG:  checkpoint starting: time
2025-02-13 11:50:30.188 CET [29052] LOG:  checkpoint complete: wrote 49 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.261 s, sync=0.011 s, total=5.279 s; sync files=30, longest=0.001 s, average=0.001 s; distance=249 kB, estimate=307 kB; lsn=0/2B13368, redo lsn=0/2B13330
2025-02-13 11:55:24.191 CET [29052] LOG:  checkpoint starting: time
